"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1364","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:45 MSK 2024","passed","Wed Aug 28 18:42:47 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","6151","Создание заказа при переходе с главной страницы","tests","Wed Aug 28 18:42:20 MSK 2024","passed","Wed Aug 28 18:42:26 MSK 2024","TestOrder","test_order","",""
"","1504","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:39 MSK 2024","passed","Wed Aug 28 18:42:40 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","6474","Создание заказа при переходе с главной страницы","tests","Wed Aug 28 18:41:55 MSK 2024","passed","Wed Aug 28 18:42:02 MSK 2024","TestOrder","test_order","",""
"","1470","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:32 MSK 2024","passed","Wed Aug 28 18:42:33 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","1414","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:52 MSK 2024","passed","Wed Aug 28 18:42:54 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","1403","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:28 MSK 2024","passed","Wed Aug 28 18:42:30 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","5889","Создание заказа при переходе с главной страницы","tests","Wed Aug 28 18:42:12 MSK 2024","passed","Wed Aug 28 18:42:18 MSK 2024","TestOrder","test_order","",""
"","6083","Создание заказа при переходе с главной страницы","tests","Wed Aug 28 18:42:04 MSK 2024","passed","Wed Aug 28 18:42:10 MSK 2024","TestOrder","test_order","",""
"","1335","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:42 MSK 2024","passed","Wed Aug 28 18:42:44 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","1549","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:49 MSK 2024","passed","Wed Aug 28 18:42:51 MSK 2024","TestQuestionAnswer","test_question_answer","",""
"","1322","Проверка текста ответа на вопрос","tests","Wed Aug 28 18:42:35 MSK 2024","passed","Wed Aug 28 18:42:37 MSK 2024","TestQuestionAnswer","test_question_answer","",""
